Student_ID,Time,Type,Test,Class,Teacher,SchoolDistrict,AssignedCondition,ActualCondition,Dyad,NumPartners,IndividualDays,CollaborativeDays,MixedDays,Month,Gender,Grade,DayCount,TestCount,UnitCount,TutorCount,NotInclude,NotInclude,1_fractionBarA0201 SetPieces,1_fractionBarA0401 SetPieces,1_pieChartA0101 SetPieces,1_pieChartA0301 SetPieces,1 Total,2_denA0001 UpdateTextField,2_dragNDropA0302 SetChildren,2_numA0001 UpdateTextField,2 Total,3_denA0201 UpdateTextArea,3_denA0202 UpdateTextArea,3_denA0203 UpdateTextArea,3_denA0204 UpdateTextArea,3_denA0205 UpdateTextArea,3_dragNDropA0301 SetChildren,3_dragNDropA0302 SetChildren,3_dragNDropA0303 SetChildren,3_dragNDropA0304 SetChildren,3_dragNDropA0305 SetChildren,3_lcdA0101 UpdateTextArea,3_numA0201 UpdateTextArea,3_numA0202 UpdateTextArea,3_numA0203 UpdateTextArea,3_numA0204 UpdateTextArea,3_numA0205 UpdateTextArea,3 Total,4_dragNDropA0302 SetChildren,4_lcdA0001 UpdateTextField,4_multA0001 UpdateTextField,4_multA0002 UpdateTextField,4 Total,5_responseA0001 UpdateTextArea,5 Total,6_responseA0001 UpdateTextArea,6 Total,7_denA0002 UpdateTextField,7_dragNDropA0302 SetChildren,7_numA0002 UpdateTextField,7 Total,8_compareA0001 UpdateTextField,8_denA0003 UpdateTextField,8_denA0004 UpdateTextField,8_dragNDropA0302 SetChildren,8_lcdA0001 UpdateTextField,8_numA0003 UpdateTextField,8_numA0004 UpdateTextField,8 Total,9_dragNDropA0103 SetChildren,9_dragNDropA0104 SetChildren,9_dragNDropA0105 SetChildren,9_dragNDropA0106 SetChildren,9_dragNDropA0107 SetChildren,9_dragNDropA0108 SetChildren,9 Total,10_dragNDropA0103 SetChildren,10_dragNDropA0104 SetChildren,10_dragNDropA0105 SetChildren,10_dragNDropA0106 SetChildren,10_dragNDropA0107 SetChildren,10_dragNDropA0108 SetChildren,10 Total,11_dragNDropA0302 SetChildren,11_pieChartA0001 SetPieces,11 Total,12_denA0201 UpdateTextArea,12_denA0202 UpdateTextArea,12_denA0301 UpdateTextArea,12_numA0201 UpdateTextArea,12_numA0202 UpdateTextArea,12_numA0301 UpdateTextArea,12_textA0101 UpdateTextArea,12 Total,13_denA0003 UpdateTextField,13_denA0004 UpdateTextField,13_denA0005 UpdateTextField,13_dragNDropA0302 SetChildren,13_lcdA0001 UpdateTextField,13_numA0003 UpdateTextField,13_numA0004 UpdateTextField,13_numA0005 UpdateTextField,13 Total,14_denA0201 UpdateTextArea,14_denA0202 UpdateTextArea,14_denA0301 UpdateTextArea,14_numA0201 UpdateTextArea,14_numA0202 UpdateTextArea,14_numA0301 UpdateTextArea,14_textA0101 UpdateTextArea,14 Total,15_denA0003 UpdateTextField,15_denA0004 UpdateTextField,15_denA0005 UpdateTextField,15_dragNDropA0302 SetChildren,15_lcdA0001 UpdateTextField,15_numA0003 UpdateTextField,15_numA0004 UpdateTextField,15_numA0005 UpdateTextField,15 Total,Grand Total,ErroneousTotal,ErroneousPercentage,ProceduralTotal,ProceduralPercentage,NonWrittenTotal,WeightedTotal,TotalPercentage,HintsComparingErroneous,HintsComparingProcedural,HintsEquivalentErroneous,HintsEquivalentProcedural,HintsLCDErroneous,HintsLCDProcedural,HintsErroneous,HintsProcedural,HintsTotal,ErrorsComparingErroneous,ErrorsComparingProcedural,ErrorsEquivalentErroneous,ErrorsEquivalentProcedural,ErrorsLCDErroneous,ErrorsLCDProcedural,ErrorsErroneous,ErrorsProcedural,ErrorsTotal,WrittenLength,StudentDuration,ClassDuration,TotalPercentStudentDuration,TotalPercentClassDuration
Stu_005a9729f8e3869ff12b105e0f7bb82e,Pretest,A,Pretest A,Deley,Deley,Montour,M,M,430,2,0,0,3,May,Male,4,5,2,6,3,KEEP,KEEP,1,1,1,1,4,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,2,0,1,0,0,1,1,0,3,1,1,1,1,1,1,6,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,7,0.2,11,0.239130435,18,0.219565217,0.222222222,0,0,15,18,0,7,15,25,40,65,14,15,1,42,13,122,28,150,104,32,36,0.006944444,
Stu_005a9729f8e3869ff12b105e0f7bb82e,Posttest,B,Posttest B,Deley,Deley,Montour,M,M,430,2,0,0,3,May,Male,4,5,2,6,3,KEEP,KEEP,1,1,1,1,4,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,0,1,1,1,3,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,6,1,1,1,1,1,1,6,0,0,1,1,0,0,2,1,1,2,1,1,1,1,1,1,1,7,1,1,1,0,1,1,1,1,7,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,6,64,27,0.771428571,35,0.760869565,62,0.766149068,0.765432099,0,0,15,18,0,7,15,25,40,65,14,15,1,42,13,122,28,150,26,26,61,0.029439696,
Stu_03af0deb60a1b42c70c4d71b3f9f8bed,Pretest,B,Pretest B,Shields,Shields,Lebanon,I,I,,1,2,0,0,May,Male,5,5,2,4,3,KEEP,KEEP,1,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,2,1,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,0.085714286,6,0.130434783,9,0.108074534,0.111111111,48,71,0,0,76,47,124,118,242,46,119,0,0,45,14,91,133,224,135,32,48,0.003472222,
Stu_03af0deb60a1b42c70c4d71b3f9f8bed,Posttest,A,Posttest A,Shields,Shields,Lebanon,I,I,,1,2,0,0,May,Male,5,5,2,4,3,KEEP,KEEP,1,1,1,1,4,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,6,0,1,1,1,1,1,1,1,1,1,7,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,3,0,1,1,0,1,0,1,0,4,44,16,0.457142857,26,0.565217391,42,0.511180124,0.518518519,48,71,0,0,76,47,124,118,242,46,119,0,0,45,14,91,133,224,78,27,43,0.01920439,
Stu_03c1e9a4dde8c645a7554f75a1f33ea7,Pretest,A,Pretest A,Marchiona 1,Marchiona ,Hopewell,M,M,431,1,0,0,3,Feb,Female,4,5,2,6,3,KEEP,KEEP,1,1,1,1,4,1,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,3,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7,0.2,5,0.108695652,12,0.154347826,0.148148148,4,10,0,0,3,10,7,20,27,41,14,6,0,13,5,60,19,79,201,38,1152,0.003898635,
Stu_03c1e9a4dde8c645a7554f75a1f33ea7,Posttest,B,Posttest B,Marchiona 1,Marchiona ,Hopewell,M,M,431,1,0,0,3,Feb,Female,4,5,2,6,3,KEEP,KEEP,1,1,1,1,4,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,4,1,1,1,1,1,1,0,2,0,1,1,1,1,1,0,5,1,1,0,0,0,0,2,1,1,1,1,1,1,6,1,0,1,1,1,1,1,1,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,51,14,0.4,35,0.760869565,49,0.580434783,0.604938272,4,10,0,0,3,10,7,20,27,41,14,6,0,13,5,60,19,79,263,41,45,0.014754592,
Stu_04235a6a18782d9209667e4bbaeef1bd,Pretest,B,Pretest B,Huffman,Huffman,Level Green,C,C,432,1,0,2,0,May,Female,4,5,2,4,3,KEEP,KEEP,1,1,1,1,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,2,0,1,1,0,1,1,1,5,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,8,0.228571429,5,0.108695652,13,0.16863354,0.160493827,0,19,0,0,9,0,9,19,28,44,35,0,0,27,5,71,40,111,117,18,22,0.008916324,
Stu_04235a6a18782d9209667e4bbaeef1bd,Posttest,A,Posttest A,Huffman,Huffman,Level Green,C,C,432,1,0,2,0,May,Female,4,5,2,4,3,KEEP,KEEP,1,1,1,1,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,5,0,0,1,1,1,0,3,1,1,1,1,0,1,5,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,6,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,5,37,20,0.571428571,15,0.326086957,35,0.448757764,0.432098765,0,19,0,0,9,0,9,19,28,44,35,0,0,27,5,71,40,111,120,43,48,0.010048808,
Stu_0479dc58fcc9d95f20f7396a10885619,Pretest,B,Pretest B,Shields,Shields,Lebanon,I,I,,1,2,0,0,May,Female,5,5,2,5,3,KEEP,KEEP,1,1,1,1,4,1,0,1,2,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,6,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,2,1,1,1,1,1,1,0,6,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,0,7,64,27,0.771428571,35,0.760869565,62,0.766149068,0.765432099,13,0,0,0,0,4,13,4,17,15,4,6,0,14,5,35,9,44,322,28,48,0.027336861,
Stu_0479dc58fcc9d95f20f7396a10885619,Posttest,A,Posttest A,Shields,Shields,Lebanon,I,I,,1,2,0,0,May,Female,5,5,2,5,3,KEEP,KEEP,1,1,1,1,4,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,0,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,0,1,1,1,6,1,1,1,1,1,1,6,1,1,0,1,1,1,5,1,1,2,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,8,79,32,0.914285714,45,0.97826087,77,0.946273292,0.950617284,13,0,0,0,0,4,13,4,17,15,4,6,0,14,5,35,9,44,291,21,43,0.04526749,
